welc_resp.keys,welc_resp.rt,instr0_resp.keys,instr0_resp.rt,prep_resp.keys,prep_resp.corr,prep_resp.rt,preparation.thisRepN,preparation.thisTrialN,preparation.thisN,preparation.thisIndex,preparation.ran,preparation.order,letter10,letter20,corrAns0,participant,,date,expName,psychopyVersion,frameRate,outro_resp.keys,outro_resp.rt,instr1_resp.keys,instr1_resp.rt,resp.keys,resp.corr,resp.rt,letterMaster.thisRepN,letterMaster.thisTrialN,letterMaster.thisN,letterMaster.thisIndex,letterMaster.ran,letterMaster.order,letterset,letterset2,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,practice.order,letter1,letter2,corrAns,letterA,letterC,letterE,instr2_resp.keys,instr2_resp.rt,instr3_resp.keys,instr3_resp.rt,test_resp.keys,test_resp.rt,test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,test.ran,test.order,letter3,letter4,letterA2,letterB2,pickA,avoidB,outro_resp2.keys,outro_resp2.rt
space,0.93,space,0.478,m,0,0.731,1,0,10,4,1,9,U,L,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.227,1,0,10,6,1,9,U,L,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.309,1,0,10,0,1,9,U,L,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.343,1,0,10,1,1,9,U,L,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,0,0.313,1,0,10,9,1,9,U,L,m,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,c,1,0.327,1,0,10,5,1,9,U,L,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.394,1,0,10,3,1,9,L,U,m,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.364,1,0,10,7,1,9,L,U,m,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,1,0.327,1,0,10,2,1,9,L,U,m,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,m,0,0.326,1,0,10,8,1,9,L,U,c,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,space,0.76,space,0.418,m,0,0.354,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.357,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.379,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.394,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,28,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.395,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.327,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.672,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.491,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,17,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.493,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.376,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.392,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,21,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.396,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,20,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.344,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.425,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,0,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.511,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,18,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.43,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,13,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.413,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.425,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,10,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.477,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,16,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.443,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.413,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,3,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.426,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,6,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.543,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.378,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,23,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.394,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,4,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.929,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.476,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.363,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.546,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.408,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.426,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,23,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.581,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,19,1,179,O,d,m,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.43,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,7,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.445,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,20,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.394,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,28,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.362,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,5,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.395,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,0,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.443,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,15,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.426,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,6,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.409,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,21,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.546,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,11,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.427,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,13,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.362,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,25,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.427,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,12,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.427,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,8,1,179,A,a,m,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.363,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,26,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.513,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,14,1,179,d,O,m,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.445,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,29,1,179,L,I,c,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.393,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,22,1,179,I,L,c,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,0,0.393,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,27,1,179,I,L,m,,,c,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.478,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,3,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.443,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,18,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.393,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,24,1,179,L,I,m,,,m,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.377,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,17,1,179,d,O,c,,m,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.41,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,4,1,179,a,A,m,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.379,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,2,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.409,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,1,1,179,A,a,c,c,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,0,0.361,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,9,1,179,a,A,c,m,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,c,1,0.511,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,6,0,180,10,1,179,O,d,c,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,m,1,0.409,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,space,1.423,space,0.659,m,0.178,2,0,92,44,1,91,d,L,d,f,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,,,,,m,0.195,2,0,92,14,1,91,A,I,A,E,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,,,,,m,0.262,2,0,92,5,1,91,L,I,F,E,,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,,,,,m,0.21,2,0,92,26,1,91,a,d,B,D,,m,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,,,,,m,0.209,2,0,92,18,1,91,A,L,A,F,c,,,
,,,,,,,,,,,,,,,,,,2019-05-23_22h13.12.454,Probabilistic Learning,3.1.0,60,,,,,,,,1,0,6,0,1,5,hiragana1.xlsx,hiragana11.xlsx,,,,,,,,,,,,,,,,,m,0.027,2,0,92,35,1,91,a,L,B,F,,m,,
